baristas,price,profit
4.0,7.818181818181818,1029.0
3.0,5.909090909090909,978.536
2.0,6.818181818181818,1439.36
2.0,2.3636363636363638,-15.6
5.0,8.272727272727273,814.509
5.0,3.7272727272727275,87.3
1.0,4.636363636363637,447.455
4.0,9.454545454545455,1178.23
3.0,1.0,-936.1
1.0,2.8181818181818183,14.8545
3.0,8.0,1655.3
3.0,8.09090909090909,901.5
3.0,8.0,1262.1
3.0,8.0,1330.9
3.0,8.0,1275.7
3.0,8.0,1392.8
3.0,8.0,992.4
3.0,8.0,1441.7
3.0,8.0,1037.7
3.0,8.0,1313.8
3.0,8.0,1299.7
3.0,8.0,1406.9
3.0,8.0,1151.2
3.0,8.0,951.2
3.0,8.0,1414.0
3.0,8.0,1240.8
3.0,8.0,1168.1
3.0,8.0,1303.0
3.0,8.0,1289.8
3.0,8.0,1448.1
3.0,8.0,1434.8
3.0,8.0,1338.1
3.0,8.0,1376.0
3.0,8.0,1310.5
3.0,8.0,1517.4
3.0,8.0,1237.2
3.0,8.0,1635.2
3.0,8.0,1171.9
3.0,8.0,1151.4
3.0,8.0,1144.8
3.0,8.0,1448.5
3.0,8.0,1213.6
3.0,8.0,1569.3
3.0,8.0,1244.5
3.0,8.0,1299.9
3.0,8.0,1407.1
3.0,8.0,1459.1
3.0,8.0,1286.5
3.0,8.0,1258.6
3.0,8.0,1265.1
3.0,8.0,1189.5
3.0,8.0,1565.8
3.0,8.0,1489.7
3.0,8.0,947.6
3.0,8.0,1337.8
3.0,8.0,1123.6
3.0,8.0,1261.7
3.0,8.0,1327.4
3.0,8.0,1193.0
3.0,8.0,1227.1
3.0,8.0,1061.1
3.0,8.0,1341.3
3.0,8.0,1416.8
3.0,8.0,1074.9
3.0,8.0,1589.6
3.0,8.0,1362.3
3.0,8.0,1403.0
3.0,8.0,1289.4
3.0,8.0,1451.8
3.0,8.0,1230.4
3.0,8.0,1023.3
3.0,8.0,1365.6
3.0,8.0,1372.4
3.0,8.0,1427.4
3.0,8.0,1285.9
3.0,8.0,1428.6
3.0,8.0,1175.2
3.0,8.0,1237.2
3.0,8.0,1057.7
3.0,8.0,1296.6
3.0,8.0,1344.7
3.0,8.0,1379.6
3.0,8.0,1369.0
3.0,8.0,1489.8
3.0,8.0,1147.7
3.0,8.0,1144.0
3.0,8.0,1179.0
3.0,8.0,1448.4
3.0,8.0,1455.2
3.0,8.0,1382.7
3.0,8.0,1479.1
3.0,8.0,1213.2
3.0,8.0,1442.1
3.0,8.0,1414.0
3.0,8.0,1369.1
3.0,8.0,1299.8
3.0,8.0,1175.4
3.0,8.0,1050.7
3.0,8.0,1144.2
3.0,8.0,1382.7
3.0,8.0,1133.7
3.0,8.0,1199.9
3.0,8.0,1272.0
3.0,8.0,1320.3
3.0,8.0,1299.4
3.0,8.0,1240.7
3.0,8.0,1240.9
3.0,8.0,1137.9
3.0,8.0,1120.4
3.0,8.0,1289.6
3.0,8.0,1178.9
3.0,8.0,1216.9
3.0,8.0,1334.8
3.0,8.0,1165.2
3.0,8.0,1278.7
3.0,8.0,1279.4
3.0,8.0,1368.8
3.0,8.0,1448.4
3.0,8.0,1334.5
3.0,8.0,1147.6
3.0,8.0,1285.4
3.0,8.0,1123.8
3.0,8.0,1320.6
3.0,8.0,1148.2
3.0,8.0,1109.9
3.0,8.0,1320.0
3.0,8.0,1027.2
3.0,8.0,1206.1
3.0,8.0,1224.3
3.0,8.0,1565.4
3.0,8.0,1109.2
3.0,8.0,1240.9
3.0,8.0,1103.2
3.0,8.0,1213.5
3.0,8.0,1051.3
3.0,8.0,1199.4
3.0,8.0,1565.4
3.0,8.0,1168.8
3.0,8.0,1334.8
3.0,8.0,1288.9
3.0,8.0,1195.6
3.0,8.0,1130.4
3.0,8.0,1275.5
3.0,8.0,1347.8
3.0,8.0,1496.9
3.0,8.0,1175.6
3.0,8.0,1304.0
3.0,8.0,1324.2
3.0,8.0,1234.4
3.0,8.0,1044.5
3.0,8.0,1281.7
3.0,8.0,1292.6
3.0,8.0,1614.0
3.0,8.0,1286.1
3.0,8.0,1448.7
3.0,8.0,1210.1
3.0,8.0,1378.5
3.0,8.0,1438.5
3.0,8.0,1316.4
3.0,8.0,1337.8
3.0,8.0,1206.8
