baristas,price,profit
1.0,1.1818181818181819,-462.291
4.0,2.909090909090909,-152.818
5.0,6.7272727272727275,714.145
5.0,5.2727272727272725,425.218
4.0,8.727272727272727,996.818
2.0,10.0,1527.1
1.0,4.454545454545455,421.827
3.0,2.5454545454545454,-136.391
2.0,7.363636363636364,1369.64
3.0,6.090909090909091,1115.69
2.0,10.0,1638.8
2.0,10.0,1496.2
2.0,10.0,1732.3
2.0,10.0,1496.0
2.0,10.0,1558.5
2.0,10.0,1643.1
2.0,10.0,1598.6
2.0,10.0,1590.2
2.0,10.0,1500.6
2.0,10.0,1504.8
2.0,10.0,1620.9
2.0,10.0,1397.9
2.0,10.0,1492.1
2.0,10.0,1532.0
2.0,10.0,1839.2
2.0,10.0,1433.7
2.0,10.0,1518.8
2.0,10.0,1389.0
2.0,10.0,1696.8
2.0,10.0,1611.6
2.0,10.0,1768.5
2.0,10.0,1491.8
2.0,10.0,1701.0
2.0,10.0,1869.9
2.0,10.0,1469.6
2.0,10.0,1563.0
2.0,10.0,1776.9
2.0,10.0,1589.8
2.0,10.0,1866.0
2.0,10.0,1718.9
2.0,10.0,1540.4
2.0,10.0,1295.7
2.0,10.0,1567.3
2.0,10.0,1380.4
2.0,10.0,1620.7
2.0,10.0,1443.1
2.0,10.0,1839.4
2.0,10.0,1669.8
2.0,10.0,1335.8
2.0,10.0,1474.0
2.0,10.0,1789.9
2.0,10.0,1549.5
2.0,10.0,1647.8
2.0,10.0,1616.5
2.0,10.0,1353.3
2.0,10.0,1692.6
2.0,10.0,1483.5
2.0,10.0,1638.9
2.0,10.0,1331.3
2.0,10.0,1678.3
2.0,10.0,1429.6
2.0,10.0,1447.6
2.0,10.0,2017.3
2.0,10.0,1679.3
2.0,10.0,1973.0
2.0,10.0,1585.3
2.0,10.0,1688.0
2.0,10.0,1679.1
2.0,10.0,1447.1
2.0,10.0,1674.1
2.0,10.0,1639.1
2.0,10.0,1527.3
2.0,10.0,1651.6
2.0,10.0,1696.5
2.0,10.0,1402.4
2.0,10.0,1420.5
2.0,10.0,1460.8
2.0,10.0,1491.6
2.0,10.0,1496.0
2.0,10.0,1634.8
2.0,10.0,1714.7
2.0,10.0,1572.2
2.0,10.0,1750.0
2.0,10.0,1639.0
2.0,10.0,1625.7
2.0,10.0,1438.8
2.0,10.0,1608.1
2.0,10.0,1380.6
2.0,10.0,1518.8
2.0,10.0,1411.3
2.0,10.0,1687.8
2.0,10.0,1576.7
2.0,10.0,1558.9
2.0,10.0,1402.4
2.0,10.0,1670.2
2.0,10.0,1754.7
2.0,10.0,1362.6
2.0,10.0,1398.7
2.0,10.0,1349.0
2.0,10.0,1580.6
2.0,10.0,1670.2
2.0,10.0,1652.2
2.0,10.0,1741.1
2.0,10.0,1341.2
2.0,10.0,1678.9
2.0,10.0,1206.4
2.0,10.0,1273.5
2.0,10.0,1050.8
2.0,10.0,1585.5
2.0,10.0,1482.8
2.0,10.0,1571.9
2.0,10.0,1554.4
2.0,10.0,1906.1
2.0,10.0,1763.1
2.0,10.0,1701.1
2.0,10.0,1331.1
2.0,10.0,1701.3
2.0,10.0,1616.1
2.0,10.0,1776.9
2.0,10.0,1272.8
2.0,10.0,1509.6
2.0,10.0,1780.9
2.0,10.0,1558.5
2.0,10.0,1300.1
2.0,10.0,1807.7
2.0,10.0,1269.4
2.0,10.0,1638.9
2.0,10.0,1844.0
2.0,10.0,1616.7
2.0,10.0,1451.5
2.0,10.0,1572.1
2.0,10.0,1598.6
2.0,10.0,1589.7
2.0,10.0,1812.3
2.0,10.0,1643.0
2.0,10.0,1135.1
2.0,10.0,1296.2
2.0,10.0,1852.7
2.0,10.0,1523.1
2.0,10.0,1486.9
2.0,10.0,1670.0
2.0,10.0,1474.4
2.0,10.0,1648.1
2.0,10.0,1754.4
2.0,10.0,1385.2
2.0,10.0,1603.0
2.0,10.0,1795.3
2.0,10.0,1478.6
2.0,10.0,1300.3
2.0,10.0,1465.5
2.0,10.0,1630.7
2.0,10.0,1741.5
2.0,10.0,1608.7
2.0,10.0,1509.9
2.0,10.0,1554.0
2.0,10.0,1692.1
2.0,10.0,1563.2
2.0,10.0,1804.1
2.0,10.0,1545.2
2.0,10.0,1678.7
2.0,10.0,1701.4
2.0,10.0,1709.8
2.0,10.0,1326.9
2.0,10.0,1456.3
2.0,10.0,1567.3
2.0,10.0,1393.7
2.0,10.0,1545.5
2.0,10.0,2070.8
2.0,10.0,1603.2
2.0,10.0,1696.8
2.0,10.0,1300.0
2.0,10.0,1687.8
2.0,10.0,1688.2
2.0,10.0,1469.4
2.0,10.0,1474.1
2.0,10.0,1647.9
2.0,10.0,1553.9
2.0,10.0,1621.1
2.0,10.0,1621.5
2.0,10.0,1380.2
2.0,10.0,1215.6
2.0,10.0,1291.3
2.0,10.0,1883.8
2.0,10.0,1933.0
2.0,10.0,1558.3
2.0,10.0,1452.1
2.0,10.0,1683.5
2.0,10.0,1518.6
2.0,10.0,1380.1
2.0,10.0,1528.0
2.0,10.0,1358.4
2.0,10.0,1968.3
2.0,10.0,1406.7
2.0,10.0,1652.1
2.0,10.0,1545.6
2.0,10.0,1568.0
2.0,10.0,1709.5
2.0,10.0,1661.4
2.0,10.0,1336.0
2.0,10.0,1629.7
2.0,10.0,1478.3
2.0,10.0,1340.5
2.0,10.0,1514.4
2.0,10.0,1558.9
2.0,10.0,1648.1
2.0,10.0,1558.4
2.0,10.0,1590.0
2.0,10.0,1242.0
2.0,10.0,1607.6
2.0,10.0,1465.0
2.0,10.0,1518.5
2.0,10.0,1531.9
2.0,10.0,1750.7
2.0,10.0,1523.0
2.0,10.0,1514.0
2.0,10.0,1905.9
2.0,10.0,1336.2
2.0,10.0,1210.9
2.0,10.0,1813.1
2.0,10.0,1607.7
2.0,10.0,1402.8
2.0,10.0,1678.9
2.0,10.0,1795.2
